filename,xmin,ymin,xmax,ymax,class
1478900616611753513.jpg,228,562,396,678,car
1478900616611753513.jpg,230,564,396,684,truck
1478732867482751499.jpg,656,546,704,628,biker
1478732867482751499.jpg,656,556,698,622,biker
1478732867482751499.jpg,794,542,894,596,car
1478732867482751499.jpg,1050,248,1102,338,trafficLight
1478732867482751499.jpg,1266,242,1328,356,trafficLight
1478732867482751499.jpg,1356,554,1442,636,car
1478732867482751499.jpg,1608,570,1686,620,car
1478732867482751499.jpg,1852,420,1900,500,trafficLight
1478896911797732987.jpg,22,556,118,612,car
1478896911797732987.jpg,148,470,400,676,truck
1478896911797732987.jpg,374,570,500,644,car
1478896911797732987.jpg,680,130,730,238,trafficLight
1478896911797732987.jpg,684,128,728,240,trafficLight
1478896911797732987.jpg,1066,546,1250,624,car
1478896911797732987.jpg,1176,346,1218,438,trafficLight
1478897921838283279.jpg,280,604,404,660,car
1478897921838283279.jpg,462,556,668,728,car
1478897921838283279.jpg,812,590,872,642,car
1478897921838283279.jpg,1312,554,1352,640,pedestrian
1478897921838283279.jpg,1642,386,1906,1058,biker
1478897114605643420.jpg,470,602,590,692,car
1478897114605643420.jpg,632,612,704,668,car
1478897114605643420.jpg,680,578,750,658,truck
1478897114605643420.jpg,926,608,994,676,car
1478897114605643420.jpg,978,596,1170,726,car
1478732643825223931.jpg,18,0,740,642,truck
1478732643825223931.jpg,482,506,742,670,truck
1478732643825223931.jpg,490,576,532,636,pedestrian
1478732643825223931.jpg,514,562,552,648,pedestrian
1478732643825223931.jpg,556,536,618,658,pedestrian
1478732643825223931.jpg,558,524,600,668,pedestrian
1478732643825223931.jpg,640,542,688,648,pedestrian
1478732643825223931.jpg,646,550,700,650,pedestrian
1478732643825223931.jpg,882,574,954,632,car
1478732643825223931.jpg,938,532,1136,690,car
1478732643825223931.jpg,1000,496,1038,552,trafficLight
1478732643825223931.jpg,1162,578,1260,658,car
1478732643825223931.jpg,1172,578,1244,658,car
1478732643825223931.jpg,1234,296,1838,810,truck
1478898100652668954.jpg,212,640,234,692,pedestrian
1478898100652668954.jpg,238,638,256,692,pedestrian
1478898100652668954.jpg,258,638,280,694,pedestrian
1478898100652668954.jpg,364,620,498,732,car
1478898100652668954.jpg,538,638,656,726,car
1478898100652668954.jpg,674,276,716,360,trafficLight
1478898100652668954.jpg,746,534,956,736,car
1478898100652668954.jpg,934,284,972,366,trafficLight
1478898100652668954.jpg,1448,488,1486,536,trafficLight
1478898100652668954.jpg,1484,560,1538,728,biker
1478898100652668954.jpg,1500,510,1534,724,biker
1478897526506175167.jpg,446,550,610,706,car
1478897526506175167.jpg,450,544,600,710,truck
1478897526506175167.jpg,654,592,730,658,car
1478897526506175167.jpg,700,590,894,742,car
1478901343864419295.jpg,2,518,146,734,car
1478901343864419295.jpg,16,528,144,794,car
1478901343864419295.jpg,58,592,302,800,car
1478901343864419295.jpg,102,526,286,614,truck
1478901343864419295.jpg,234,458,860,956,car
1478901343864419295.jpg,590,360,626,428,trafficLight
1478901343864419295.jpg,776,362,814,420,trafficLight
1478901343864419295.jpg,890,594,964,648,car
1478901343864419295.jpg,906,606,952,644,car
1478901343864419295.jpg,926,358,964,428,trafficLight
1478901343864419295.jpg,1176,540,1898,980,car
1478901343864419295.jpg,1180,582,1268,722,car
1478901343864419295.jpg,1288,472,1320,530,trafficLight
1478901343864419295.jpg,1312,496,1756,620,car
1478901343864419295.jpg,1658,494,1908,650,truck
1478901343864419295.jpg,1734,212,1836,402,trafficLight
1478901343864419295.jpg,1794,582,1846,648,pedestrian
1478900650889347070.jpg,358,566,428,700,biker
1478895707518912091.jpg,630,424,700,492,car
1478895707518912091.jpg,638,434,706,486,truck
1478895707518912091.jpg,738,490,850,582,car
1478898666228903545.jpg,590,610,608,650,biker
1478898666228903545.jpg,670,620,704,648,car
1478898666228903545.jpg,702,618,728,640,car
1478898666228903545.jpg,1064,612,1082,676,pedestrian
1478897933835480573.jpg,58,624,146,694,car
1478897933835480573.jpg,212,492,238,536,trafficLight
1478897933835480573.jpg,264,618,336,684,car
1478897933835480573.jpg,274,620,338,674,car
1478897933835480573.jpg,344,586,466,712,car
1478897933835480573.jpg,388,508,424,548,trafficLight
1478897933835480573.jpg,402,496,426,540,trafficLight
1478897933835480573.jpg,492,628,560,682,car
1478897933835480573.jpg,552,492,722,694,truck
1478897933835480573.jpg,654,610,836,748,car
1478897933835480573.jpg,1056,514,1646,872,car
1478896424487305522.jpg,484,630,578,706,car
1478896424487305522.jpg,586,614,622,680,pedestrian
1478896424487305522.jpg,806,604,880,666,car
1478896424487305522.jpg,944,562,1056,692,truck
1478896424487305522.jpg,948,566,1072,674,car
1478896424487305522.jpg,1078,592,1382,798,car
1478897919552955786.jpg,174,542,520,792,car
1478897919552955786.jpg,798,594,868,656,car
1478897919552955786.jpg,1060,564,1140,758,biker
1478897919552955786.jpg,1072,574,1130,732,biker
1478897371686533275.jpg,0,472,242,684,truck
1478897371686533275.jpg,124,608,318,738,car
1478897371686533275.jpg,216,500,474,658,car
1478897371686533275.jpg,274,546,816,952,car
1478897371686533275.jpg,586,440,888,754,car
1478897371686533275.jpg,758,468,906,780,car
1478897371686533275.jpg,926,600,1046,698,car
1478897371686533275.jpg,992,574,1048,706,car
1478897371686533275.jpg,1020,542,1198,724,car
1478897371686533275.jpg,1088,562,1420,774,car
1478897371686533275.jpg,1332,456,1544,694,truck
1478897371686533275.jpg,1346,472,1544,682,car
1478896959786195667.jpg,80,640,228,730,car
1478896959786195667.jpg,242,620,394,720,car
1478896959786195667.jpg,386,626,506,702,car
1478896959786195667.jpg,474,616,856,884,car
1478896959786195667.jpg,648,304,694,384,trafficLight
1478896959786195667.jpg,896,606,928,666,pedestrian
1478896959786195667.jpg,906,574,960,684,pedestrian
1478896959786195667.jpg,992,484,1026,550,trafficLight
1478896959786195667.jpg,1028,482,1230,914,biker
1478896959786195667.jpg,1096,540,1204,816,biker
1478899164964406275.jpg,196,576,308,676,car
1478899164964406275.jpg,560,580,640,654,car
1478899164964406275.jpg,614,534,748,674,truck
1478899513451670388.jpg,24,552,288,650,truck
